receiving labware location,receiving well location,stock labware location 1,stock well location 1,volume 1,priority,mix
2,E4,5,E4,50,110,yes
4,E5,1,E5,20,111,yes
5,E5,4,E5,20,112,yes
2,E5,5,E5,50,113,yes
4,E6,1,E6,20,114,yes
5,E6,4,E6,20,115,yes
2,E6,5,E6,50,116,yes
4,E7,1,E7,20,117,yes
5,E7,4,E7,20,118,yes
2,E7,5,E7,50,119,yes
4,E8,1,E8,20,120,yes
5,E8,4,E8,20,121,yes
2,E8,5,E8,50,122,yes
